Customer ID,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents
6173-GOLSU,1,,,No,Yes,Yes,No,0
3589-PPVKW,1,,66,No,Yes,No,No,
2957-JIRMN,1,Male,80,No,Yes,No,No,0
5018-HEKFO,1,Female,69,No,Yes,Yes,No,0
9019-QVLZD,1,Male,78,No,Yes,No,No,
8149-AIQCG,1,Male,78,No,Yes,Yes,No,0
6147-CBCRA,1,Male,68,No,Yes,Yes,No,0
5073-RZGBK,1,Female,75,No,Yes,Yes,,0
8992-CEUEN,1,,70,No,Yes,,No,0
5174-ITUMV,1,Female,65,No,Yes,Yes,,0
2495-INZWQ,1,Male,71,No,Yes,,,0
7088-FBAWU,1,Female,72,No,Yes,No,No,0
9046-DQMTP,1,Male,69,No,Yes,No,No,0
1891-QRQSA,1,,70,No,,No,No,0
7470-DYNOE,1,Female,80,No,Yes,Yes,No,0
3590-TCXTB,1,,73,No,Yes,Yes,No,0
9412-GHEEC,1,,73,No,Yes,No,No,0
2725-KXXWT,1,Male,79,No,Yes,Yes,No,0
9839-ETQOE,1,Female,79,No,Yes,Yes,No,
2027-DNKIV,1,Female,73,No,Yes,Yes,No,0
2017-CCBLH,1,Female,77,No,Yes,Yes,No,0
3768-NLUBH,1,Female,68,No,Yes,,No,0
7394-FKDNK,1,Female,70,No,Yes,No,No,0
9076-AXYIK,1,Female,68,No,Yes,No,No,0
3164-YAXFY,1,Female,76,No,Yes,No,,0
5756-OZRIO,1,Male,68,No,Yes,No,No,0
0496-AHOOK,1,Male,80,No,Yes,Yes,No,0
9357-UJRUN,1,Male,79,No,Yes,No,No,0
2002-MZHWP,1,Male,78,No,Yes,,,
8660-BUETV,1,,76,No,Yes,Yes,No,
0495-RVCBF,1,Male,,No,Yes,,No,0
4971-PUYQO,1,Female,65,No,Yes,No,,0
0853-TWRVK,1,Male,78,No,Yes,Yes,No,0
7541-YLXCL,1,Male,68,No,Yes,,No,
5914-XRFQB,1,Female,73,,Yes,,No,0
3761-FLYZI,1,Female,75,,Yes,Yes,No,0
4774-HHGGS,1,Male,66,No,Yes,Yes,No,
9717-QEBGU,1,Female,73,No,Yes,No,No,
1539-LNKHM,1,Male,70,No,Yes,Yes,No,0
2012-NWRPA,1,Male,,No,Yes,Yes,No,0
4673-KKSLS,1,Male,70,No,Yes,Yes,,0
9629-NHXFW,1,Male,,No,Yes,,No,0
1971-DTCZB,1,Male,66,No,Yes,Yes,No,0
1171-TYKUR,1,Male,68,No,Yes,Yes,No,0
3870-MQAMG,1,,73,No,Yes,,No,0
5133-POWUA,1,Female,77,No,Yes,Yes,No,
7730-CLDSV,1,Male,73,No,Yes,,No,0
4312-KFRXN,1,Female,65,No,,Yes,No,0
2408-TZMJL,1,Female,78,No,Yes,No,No,
0295-QVKPB,1,Male,69,No,Yes,Yes,No,0
0866-QLSIR,1,Female,67,No,Yes,No,No,0
5947-SGKCL,,Male,74,No,Yes,No,No,0
8739-QOTTN,1,Male,77,No,Yes,,No,0
3126-WQMGH,1,Female,79,,Yes,No,No,0
6465-GSRCL,1,Female,68,No,Yes,,No,0
2603-HVKCG,1,Female,76,No,Yes,Yes,No,
0322-CHQRU,1,Male,80,No,Yes,Yes,Yes,2
6953-PBDIN,1,,72,No,Yes,No,No,
3756-VNWDH,1,,,,Yes,No,No,
3537-RYBHH,,Female,67,No,,No,No,0
4273-MBHYA,1,Female,74,No,Yes,No,No,0
2067-QYTCF,1,Female,68,,Yes,No,No,
9907-SWKKF,1,,66,,Yes,Yes,No,0
3683-QKIUE,1,Male,71,No,Yes,,Yes,1
9259-PACGQ,1,Male,,No,Yes,No,No,0
6475-VHUIZ,1,Female,69,,Yes,Yes,No,0
2873-ZLIWT,1,Male,68,,Yes,,No,0
6518-LGAOV,1,Male,68,No,Yes,Yes,No,0
4822-YCXMX,1,Male,76,No,,,No,0
4955-VCWBI,1,,,,Yes,Yes,No,0
0366-NQSHS,1,Male,79,No,,No,No,0
1075-BGWOH,1,Female,69,No,Yes,No,No,0
9492-TOKRI,1,Female,,No,Yes,,No,0
9033-EOXWV,1,Female,71,No,Yes,Yes,,0
0040-HALCW,1,Male,,No,Yes,,No,0
7916-VCCPB,1,Female,79,No,Yes,No,No,0
2589-AYCRP,1,Male,80,No,Yes,No,No,0
8591-TKMZH,1,Male,65,No,Yes,No,No,0
3068-OMWZA,,Female,78,No,Yes,Yes,No,
5996-EBTKM,1,Female,,No,Yes,No,No,0
6050-FFXES,1,Male,73,No,Yes,,No,0
3174-AKMAS,1,Female,80,No,Yes,No,No,0
8123-QBNAZ,1,,74,No,Yes,,No,0
3545-CNWRG,1,Female,65,No,Yes,,No,0
9103-CXVOK,1,Female,71,No,Yes,No,No,
2239-CFOUJ,1,Male,74,No,Yes,Yes,No,0
3023-GFLBR,1,Male,76,No,Yes,Yes,,0
6286-ZHAOK,1,Male,73,No,Yes,No,,0
1589-AGTLK,1,,72,No,Yes,No,,0
0958-YHXGP,,Male,76,,Yes,Yes,No,0
9933-QRGTX,1,Female,69,No,Yes,No,No,0
2080-SRCDE,1,Female,80,No,Yes,No,No,0
9993-LHIEB,1,,78,No,Yes,No,No,0
6993-YCOBK,1,Male,71,No,Yes,Yes,No,0
4927-WWOOZ,1,Male,73,No,Yes,Yes,No,0
9150-KPBJQ,1,Female,79,No,Yes,,No,0
6859-QNXIQ,,Male,69,No,Yes,,No,0
0347-UBKUZ,1,Female,79,No,Yes,,No,0
9355-NPPFS,1,Female,68,No,Yes,Yes,No,0
2495-KZNFB,1,Female,77,,Yes,No,,0
0148-DCDOS,1,Male,68,No,Yes,No,No,0
3387-PLKUI,1,Female,68,,,No,No,0
6348-SNFUS,1,Female,73,No,Yes,Yes,No,0
5687-DKDTV,1,Male,79,No,Yes,No,No,0
0584-BJQGZ,1,Male,75,No,Yes,Yes,,0
0508-OOLTO,1,Female,69,No,Yes,Yes,No,0
1024-GUALD,,Male,79,No,,Yes,No,
5039-LZRQT,1,Male,71,No,Yes,No,No,0
8250-ZNGGW,1,Female,,No,Yes,No,No,0
7216-KAOID,1,Female,65,No,Yes,Yes,No,0
2996-XAUVF,,,72,No,,Yes,No,0
1955-IBMMB,1,Male,77,No,Yes,,No,0
9356-AXGMP,1,Male,71,No,Yes,Yes,No,0
9796-MVYXX,1,Female,73,No,,No,No,0
8590-YFFQO,,,80,No,,No,No,0
6923-AQONU,1,Male,79,No,Yes,No,No,0
1063-DHQJF,1,,65,No,,Yes,No,0
2823-LKABH,1,,73,No,Yes,No,,
4826-XTSOH,1,Female,71,No,Yes,Yes,No,0
5204-HMGYF,1,Male,66,No,Yes,Yes,No,0
9819-FBNSV,,Male,66,No,,Yes,,0
7295-JOMMD,,Female,68,No,Yes,No,No,0
1704-NRWYE,1,Male,,No,Yes,No,No,0
7026-YMSBE,1,Female,69,No,Yes,Yes,No,
2925-MXLSX,1,Male,79,No,Yes,Yes,No,0
0564-JJHGS,1,,67,,Yes,No,No,0
7369-TRPFD,1,Male,68,No,Yes,,No,0
9026-LHEVG,1,Male,79,No,Yes,Yes,No,0
3486-NPGST,,Female,,,Yes,,No,0
3207-OYBWH,1,Male,73,No,Yes,Yes,No,0
7449-HVPIV,1,Male,71,No,Yes,Yes,Yes,1
8280-MQRQN,1,,67,No,Yes,,No,0
6656-JWRQX,1,,,No,Yes,,No,0
9305-CDSKC,1,,,,,Yes,Yes,
4565-EVZMJ,1,Female,79,,,No,No,0
5519-NPHVG,1,Female,69,No,Yes,No,No,0
4456-RHSNB,1,Female,72,No,Yes,No,No,0
4488-PSYCG,,Female,69,,Yes,Yes,No,0
5981-ZVXOT,1,Female,70,No,Yes,,No,0
4094-NSEDU,1,Male,78,,,Yes,No,
1098-KFQEC,1,Female,73,No,Yes,No,No,
6702-OHFWR,1,Female,76,No,Yes,Yes,No,0
1409-PHXTF,1,,78,No,Yes,Yes,No,0
0486-LGCCH,1,,74,No,Yes,No,No,0
7563-BIUPC,1,Male,79,No,Yes,,No,0
3992-YWPKO,1,Female,76,,,No,No,0
0374-AACSZ,1,Female,78,No,,No,,0
9741-YLNTD,1,,66,No,Yes,Yes,,0
3131-NWVFJ,1,,71,No,Yes,No,,0
3230-IUALN,1,Male,77,No,Yes,,Yes,1
5989-PGKJB,1,,74,No,Yes,No,No,0
6344-SFJVH,1,Male,73,No,Yes,Yes,No,0
6516-NKQBO,1,Female,,No,Yes,Yes,No,0
4130-MZLCC,1,Male,78,,,Yes,No,0
7971-HLVXI,1,Female,,No,Yes,Yes,No,
7493-TPUWZ,,Male,77,No,Yes,Yes,No,0
2346-DJQTB,1,Male,77,No,Yes,Yes,Yes,1
9025-ZRPVR,1,Female,80,No,Yes,No,No,0
4390-KYULV,1,Male,80,No,Yes,,Yes,1
0487-VVUVK,1,Male,80,No,Yes,Yes,No,0
7089-RKVSZ,1,Male,74,No,Yes,No,No,0
1964-SVLEA,1,Female,76,No,Yes,Yes,No,0
0019-EFAEP,1,,68,No,Yes,Yes,No,0
6016-LVTJQ,,,71,No,,No,No,0
3757-NJYBX,,Female,69,No,,No,,0
4020-KIUDI,1,Male,73,No,Yes,Yes,Yes,3
9508-ILZDG,,Female,74,,Yes,Yes,No,0
9548-LIGTA,1,,72,,Yes,No,No,0
5232-NXPAY,1,Female,70,No,,No,,0
2716-GFZOR,1,Male,,No,Yes,No,No,0
2348-KCJLT,1,Female,74,No,Yes,No,No,0
9548-LERKT,1,Female,65,No,Yes,,,0
3399-BMLVW,1,,72,No,Yes,Yes,Yes,1
4385-ZKVNW,1,Male,76,No,Yes,,No,0
4584-LBNMK,1,Male,75,No,Yes,Yes,No,
2636-ALXXZ,1,Male,70,No,Yes,Yes,No,
8464-EETCQ,1,Male,66,No,Yes,No,No,0
2274-XUATA,1,,68,No,Yes,Yes,No,0
4919-MOAVT,1,Female,69,,Yes,Yes,No,0
9220-ZNKJI,1,Male,75,No,Yes,Yes,No,0
2108-GLPQB,1,Female,74,No,,No,No,0
8089-UZWLX,1,Female,72,No,Yes,Yes,No,0
0601-WZHJF,1,Male,,No,Yes,No,No,0
7471-MQPOS,1,Male,70,No,Yes,Yes,Yes,3
9185-TQCVP,,Male,65,No,Yes,No,No,0
4396-KLSEH,1,Female,66,No,Yes,No,No,0
3108-PCCGG,,Female,70,No,Yes,No,No,0
5099-BAILX,1,Male,,No,Yes,No,No,0
