Customer ID,Age,Senior Citizen,Latitude,Longitude,Satisfaction Score,Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Unlimited Data,Contract,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn Category
1775-KWJKQ,27.0,No,34.078991,-118.263804,3.0,No,0.0,4.0,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Month-to-Month,319.85,0.0,0.0,26.0,345.85,No Churn
4078-SAYYN,65.0,Yes,37.766556,-121.976784,2.0,No,0.0,4.0,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,424.45,0.0,0.0,198.0,622.45,Competitor
9774-NRNAU,75.0,Yes,38.148862,-121.737696,3.0,Yes,8.0,57.0,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Month-to-Month,5567.45,0.0,0.0,1610.25,7177.7,No Churn
2123-AGEEN,20.0,No,33.833699,-118.314387,3.0,No,0.0,20.0,Yes,No,No,None,No,No,No,No,No,Month-to-Month,415.4,0.0,0.0,620.4,1035.8,No Churn
3452-GWUIN,29.0,No,33.844983,-117.952151,3.0,Yes,2.0,71.0,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Two Year,4681.75,4.7,0.0,2884.73,7561.78,No Churn
9039-ZVJDC,65.0,Yes,34.049172,-118.115022,3.0,Yes,2.0,65.0,Yes,Yes,Yes,DSL,No,Yes,Yes,No,Yes,One Year,7047.5,0.0,0.0,1272.7,8320.2,No Churn
8630-FJLIB,44.0,No,34.108455,-118.362081,3.0,Yes,10.0,16.0,Yes,No,No,None,No,No,No,No,No,Two Year,301.55,0.0,0.0,114.24,415.78998,No Churn
8313-NDOIA,62.0,No,34.142747,-117.300864,3.0,No,0.0,61.0,Yes,Yes,No,None,No,No,No,No,No,Two Year,3754.0,0.0,0.0,1955.05,3453.4,No Churn
2703-AMTUL,60.0,No,33.012751,-117.200617,3.0,Yes,0.0,17.0,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Month-to-Month,402.4375,0.0,0.0,1311.0825,1713.52,No Churn
5789-LDFXO,63.0,No,38.349195,-121.902943,3.0,No,0.0,4.0,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Month-to-Month,303.15,0.0,0.0,110.28,413.43,Dissatisfaction
4522-AKYLR,49.0,No,37.555473,-122.080312,3.0,No,0.0,1.0,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Month-to-Month,83.4,0.0,0.0,43.06,126.46,No Churn
2121-JAFOM,39.0,No,41.505916,-120.152505,3.0,Yes,10.0,67.0,Yes,No,Yes,DSL,Yes,Yes,No,Yes,Yes,Two Year,3754.0,0.0,0.0,0.0,3521.7,No Churn
1732-FEKLD,51.0,No,36.220761,-120.980777,3.0,No,0.0,64.0,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Two Year,7334.05,1.7964531,1.796209,2835.84,10169.89,No Churn
6860-YRJZP,21.0,No,34.145695,-117.95982,3.0,Yes,7.0,11.0,Yes,No,No,None,No,No,No,No,No,One Year,233.9,0.0,0.0,21.12,255.02,No Churn
8070-AAWZP,56.0,No,38.733908,-120.453416,5.0,Yes,2.0,38.0,Yes,Yes,Yes,Cable,No,Yes,Yes,No,Yes,One Year,2078.2188,0.0,784.33124,519.46,3382.01,No Churn
5067-XJQFU,46.0,No,37.902968,-119.667544,5.0,No,0.0,3.0,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Month-to-Month,235.05,0.0,0.0,41.15999,276.21,No Churn
0807-ZABDG,44.0,No,33.787165,-117.931889,3.0,Yes,7.0,44.0,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Month-to-Month,1013.6,0.0,0.0,1417.68,2431.28,No Churn
1384-RCUXW,33.0,No,39.672813,-120.456699,5.0,No,0.0,36.0,Yes,No,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Month-to-Month,2606.35,0.0,0.0,1615.32,4221.67,No Churn
7989-CHGTL,24.0,No,37.422961,-120.765493,0.0,No,0.0,1.0,Yes,No,No,None,Yes,No,Yes,No,No,Month-to-Month,402.4375,381.9375,0.0,26.12,46.62,Price
8096-LOIST,43.0,No,39.408634,-123.045516,4.0,Yes,1.0,72.0,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,Two Year,7114.25,0.0,0.0,2757.6,9871.85,No Churn
0788-DXBFY,60.0,No,35.449881,-118.841442,5.0,No,0.0,3.0,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,253.8,0.0,0.0,148.89,402.69,No Churn
6791-YBNAK,34.0,No,40.022184,-121.062384,3.0,Yes,1.0,1.0,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,69.8,0.0,0.0,11.08,80.88,Dissatisfaction
5948-UJZLF,68.0,Yes,34.044271,-118.185237,4.0,Yes,4.0,55.0,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Two Year,5044.8,12.48,0.0,1250.7,6283.02,No Churn
0913-XWSCN,27.0,No,36.217864,-120.080117,3.0,Yes,1.0,28.0,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,One Year,5696.6,0.0,0.0,2017.56,7714.16,No Churn
6435-VWCCY,39.0,No,38.838088,-122.73203,4.0,Yes,3.0,6.0,Yes,No,Yes,DSL,No,Yes,No,Yes,Yes,Month-to-Month,297.35,0.0,0.0,296.7,594.05,No Churn
0402-CQAJN,69.0,Yes,37.421299,-120.599587,1.0,No,0.0,1.0,Yes,No,Yes,Cable,No,No,No,No,Yes,Month-to-Month,50.55,0.0,6.6882515,15.87175,73.11,Dissatisfaction
2359-KMGLI,73.0,Yes,38.636102,-120.522149,0.0,No,0.0,9.0,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,790.15,0.0,0.0,90.36,880.51,Dissatisfaction
8755-OGKNA,78.0,Yes,33.537646,-116.291089,3.0,No,0.0,1.0,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Month-to-Month,71.15,0.0,20.0,24.75,115.9,Competitor
9133-AYJZG,32.0,No,37.449537,-121.994813,1.0,No,0.0,7.0,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Month-to-Month,713.0,0.0,0.0,64.75,777.75,Competitor
6022-UGGSO,69.0,Yes,32.800671,-116.483363,3.0,Yes,7.0,69.0,No,No,Yes,Fiber Optic,No,No,Yes,No,Yes,One Year,2134.3,0.0,0.0,0.0,2134.3,No Churn
0856-NAOES,76.0,Yes,37.394536,-120.890747,4.0,Yes,10.0,60.0,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,One Year,2078.2188,0.0,0.0,1023.0,6890.0,No Churn
2999-AANRQ,54.0,No,37.394536,-120.890747,3.0,No,0.0,28.0,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Month-to-Month,999.9,0.0,0.0,104.72,1104.62,No Churn
7089-IVVAZ,56.0,No,37.4695,-120.672724,4.0,Yes,0.0,46.0,Yes,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Two Year,3593.8,0.0,0.0,2154.18,5747.98,No Churn
8496-EJAUI,57.0,No,33.885811,-118.206459,0.0,No,0.0,1.0,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,402.4375,0.0,0.0,15.92,418.3575,Dissatisfaction
8059-UDZFY,55.0,No,37.287758,-119.548156,4.0,Yes,1.0,4.0,No,No,Yes,DSL,No,No,No,No,Yes,Month-to-Month,99.95,0.0,0.0,0.0,99.95,No Churn
9643-YBLUR,63.0,No,37.084697,-121.606417,3.0,Yes,1.0,25.0,Yes,No,Yes,DSL,No,No,No,No,No,One Year,2178.6,0.0,6.6882515,881.75,3067.0383,Competitor
4829-ZLJTK,61.0,No,33.906496,-116.569499,2.0,Yes,1.0,7.0,Yes,No,Yes,DSL,No,No,Yes,No,Yes,Month-to-Month,340.25,0.0,0.0,35.91,376.16,Other
6176-YJWAS,28.0,No,36.385818,-119.224243,1.0,No,0.0,1.0,Yes,No,No,None,No,No,No,No,No,Month-to-Month,402.4375,0.0,0.0,10.98,413.4175,Price
7480-QNVZJ,38.0,No,33.794209,-118.317354,2.0,Yes,5.0,4.0,Yes,No,Yes,DSL,No,Yes,No,Yes,Yes,Month-to-Month,402.4375,0.0,0.0,170.84,405.94,Dissatisfaction
9441-QHEVC,62.0,No,37.818589,-120.256995,1.0,No,0.0,7.0,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,402.4375,0.0,0.0,327.53,868.68,Competitor
8751-EDEKA,20.0,No,34.078991,-118.263804,4.0,Yes,0.0,1.0,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Month-to-Month,70.25,0.0,10.0,10.05,90.3,No Churn
4530-NDRKU,58.0,No,39.07116,-122.598542,2.0,No,0.0,2.0,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,116.65,0.0,0.0,23.5,140.15,Other
7392-YYPYJ,39.0,No,32.677716,-117.047666,5.0,No,0.0,43.0,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,3161.4,0.0,6.6882515,845.38,4013.4683,No Churn
3096-WPXBT,26.0,No,33.600987,-117.862734,5.0,Yes,5.0,60.0,Yes,No,Yes,Cable,No,Yes,Yes,Yes,Yes,Two Year,4946.7,0.0,0.0,840.0,5786.7,No Churn
1725-IQNIY,42.0,No,34.238208,-118.55029,3.0,Yes,2.0,72.0,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Two Year,8041.65,0.0,0.0,839.52,8881.17,No Churn
6173-ITPWD,40.0,No,33.798266,-118.300237,3.0,Yes,0.0,41.0,Yes,Yes,Yes,DSL,No,Yes,No,No,Yes,One Year,2078.2188,0.0,0.0,1495.27,3859.27,No Churn
1730-ZMAME,60.0,No,33.964131,-118.272783,3.0,Yes,2.0,28.0,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Month-to-Month,5597.65,0.0,0.0,967.01,6564.66,No Churn
4654-ULTTN,38.0,No,36.15254796653061,-120.019511,3.0,No,0.0,7.0,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Month-to-Month,438.9,-6.1035156e-05,0.0,110.88,549.78,No Churn
4137-JOPHL,61.0,No,33.829583,-116.474131,3.0,Yes,2.0,64.0,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Two Year,6794.75,32.24,0.0,3152.64,9915.15,No Churn
8221-EQDGL,42.0,No,33.079834,-117.134275,4.0,Yes,9.0,45.0,Yes,No,No,None,No,No,No,No,No,Two Year,886.4,0.0,0.0,977.85,1864.25,No Churn
4635-EJYPD,63.0,No,38.685069,-121.543709,3.0,No,0.0,23.0,Yes,Yes,Yes,DSL,No,No,No,Yes,No,Month-to-Month,1756.6,0.0,6.1035156e-05,805.69,2562.29,No Churn
5012-YSPJJ,71.0,Yes,39.273096,-122.050763,3.0,Yes,1.0,58.0,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,No,One Year,2078.2188,0.0,130.0,1068.94,6324.69,No Churn
5143-WMWOG,23.0,No,34.19225,-118.776874,3.0,Yes,1.0,20.0,Yes,No,No,None,No,No,No,No,No,One Year,393.15,0.0,0.0,559.2,952.35,No Churn
6198-PNNSZ,64.0,No,34.165383,-118.123752,3.0,No,0.0,11.0,Yes,No,Yes,DSL,No,No,No,No,Yes,Month-to-Month,531.15,1.7964531,0.0,32.45,561.8036,No Churn
6140-QNRQQ,21.0,No,33.787796,-117.875928,3.0,No,0.0,16.0,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Month-to-Month,1170.5,0.0,0.0,613.12,1783.62,No Churn
6583-KQJLK,37.0,No,33.994676,-117.372498,5.0,No,0.0,3.0,Yes,No,Yes,Cable,No,No,No,No,No,Month-to-Month,148.05,0.0,10.0,104.67,262.72,No Churn
5451-YHYPW,63.0,Yes,39.225694,-123.717354,3.0,Yes,6.0,23.0,Yes,No,Yes,Fiber Optic,No,No,No,No,No,One Year,2117.25,0.0,30.0,1076.86,3224.11,No Churn
1090-ESELR,74.0,Yes,38.358464,-120.579304,2.0,Yes,1.0,3.0,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,224.05,0.0,0.0,9.87,233.92,Attitude
1356-MKYSK,43.0,No,38.392821,-121.799917,1.0,No,0.0,4.0,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,237.95,0.0,0.0,52.08,290.03,Competitor
4566-NECEV,63.0,No,39.288127,-122.415841,3.0,Yes,0.0,41.0,Yes,No,No,None,No,No,No,No,No,One Year,806.95,1.7964531,0.0,1535.86,2341.0137,No Churn
5986-WWXDV,29.0,No,37.924014,-122.511694,3.0,Yes,8.0,43.0,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Month-to-Month,4209.95,0.0,0.0,225.75,4435.7,No Churn
7534-BFESC,48.0,No,34.244411,-117.072654,5.0,No,0.0,28.0,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Month-to-Month,2494.65,0.0,40.0,930.96,3465.61,No Churn
4816-LXZYW,66.0,Yes,34.598221,-117.79593,3.0,No,0.0,2.0,No,No,Yes,DSL,No,No,No,No,Yes,Month-to-Month,47.5,0.0,0.0,0.0,47.5,Competitor
0430-IHCDJ,48.0,No,33.69887,-117.25071,5.0,Yes,6.0,67.0,Yes,No,No,None,No,No,No,No,No,Two Year,1284.2,0.0,0.0,367.16,1651.36,No Churn
2400-XIWIO,38.0,No,34.157137,-118.548511,2.0,Yes,1.0,70.0,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,One Year,7534.65,0.0,0.0,2774.1,10308.75,Price
2040-OBMLJ,63.0,No,37.233226,-121.78809,3.0,No,0.0,38.0,Yes,Yes,No,None,No,No,Yes,No,No,Month-to-Month,914.4,35.61,0.0,1754.84,2633.63,No Churn
5073-WXOYN,36.0,No,40.775272,-123.287414,4.0,No,0.0,54.0,Yes,No,Yes,None,No,Yes,No,No,Yes,One Year,5299.65,1.7964531,0.0,1850.58,7148.4336,No Churn
3978-YNKDD,55.0,No,38.787446,-122.58675,5.0,No,0.0,1.0,Yes,No,Yes,Cable,No,No,No,No,Yes,Month-to-Month,62.8,0.0,0.0,42.19,104.99,No Churn
9866-OCCKE,72.0,Yes,34.2112,-118.230625,4.0,No,0.0,57.0,Yes,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Month-to-Month,4438.2,0.0,0.0,518.7,4956.9,No Churn
6365-MTGZX,71.0,Yes,32.64164,-116.985026,4.0,No,0.0,1.0,Yes,No,Yes,DSL,No,No,No,No,Yes,Two Year,46.3,0.0,0.0,11.51,57.81,No Churn
4274-DRSQT,75.0,Yes,32.64164,-116.985026,4.0,Yes,1.0,28.0,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,One Year,4014.0,0.0,0.0,1501.92,5515.92,No Churn
5876-HZVZM,26.0,No,40.759401,-122.939337,3.0,No,0.0,5.0,Yes,No,No,None,No,No,No,No,No,Month-to-Month,95.55,0.0,0.0,110.8,206.35,No Churn
9283-LZQOH,34.0,No,38.392686,-120.415951,3.0,Yes,2.0,28.0,Yes,No,Yes,DSL,No,No,No,No,Yes,One Year,592.65,0.0,0.0,383.37,976.02,No Churn
7162-WPHPM,39.0,No,35.358953,-119.72580400690777,3.0,No,0.0,1.0,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Month-to-Month,402.4375,326.7375,0.0,9.05,84.75,Attitude
7890-VYYWG,42.0,No,41.950683,-124.097094,1.0,No,0.0,1.0,No,No,Yes,DSL,No,No,No,No,Yes,Month-to-Month,298.45,0.0,0.0,0.0,298.45,Attitude
6789-HJBWG,62.0,No,32.787836,-117.232374,3.0,Yes,1.0,6.0,Yes,No,No,None,No,No,No,No,No,Month-to-Month,402.4375,0.0,-256.1375,190.2,336.5,Competitor
4086-YQSNZ,77.0,Yes,36.902954,-120.194274,3.0,No,0.0,57.0,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Two Year,5625.55,0.0,0.0,125.97,5751.52,No Churn
9863-JZAIC,55.0,No,36.751489,-119.68072,3.0,Yes,8.0,72.0,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two Year,6782.15,0.0,10.0,383.04,7175.19,No Churn
4003-OCTMP,28.0,No,36.799648,-119.801247,3.0,No,0.0,67.0,Yes,No,Yes,DSL,Yes,Yes,No,Yes,Yes,One Year,3870.0,0.0,0.0,2411.33,6281.33,No Churn
8473-VUVJN,79.0,Yes,32.787836,-117.232376,3.0,No,0.0,5.0,No,No,Yes,DSL,Yes,No,No,No,Yes,Month-to-Month,198.0,0.0,0.0,0.0,198.0,Competitor
9103-CXVOK,71.0,Yes,33.897122,-118.164432,2.0,No,0.0,1.0,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Month-to-Month,85.0,0.0,0.0,42.5,127.5,Dissatisfaction
5146-YYFRZ,71.0,Yes,34.157137,-118.548511,4.0,No,0.0,48.0,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,One Year,4744.35,0.0,0.0,281.75977,5026.11,No Churn
8234-GSZYK,28.0,No,34.291273,-118.505104,5.0,Yes,0.0,8.0,Yes,No,No,None,No,No,No,No,No,Month-to-Month,402.4375,0.0,0.0,15.6,174.8,No Churn
0743-HNPFG,25.0,No,37.828416,-122.216005,4.0,No,0.0,63.0,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Month-to-Month,6713.2,0.0,130.0,1431.99,8275.19,No Churn
8361-LTMKD,63.0,No,35.358953,-118.527064,3.0,No,0.0,28.0,Yes,No,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Month-to-Month,1652.95,0.0,0.0,680.67,2333.62,No Churn
2050-ONYDQ,19.0,No,34.598221,-117.79593,5.0,Yes,2.0,28.0,Yes,No,No,None,No,No,No,No,No,Two Year,935.9,0.0,0.0,468.96,1404.86,No Churn
1272-ILHFG,60.0,No,41.444606,-123.471895,5.0,Yes,6.0,48.0,Yes,No,No,None,No,No,No,No,No,Two Year,1027.25,0.0,0.0,894.72,1921.97,No Churn
8720-RQSBJ,57.0,No,33.569186,-117.640055,3.0,No,0.0,3.0,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Month-to-Month,298.35,0.0,0.0,65.58,363.93,Dissatisfaction
0014-BMAQU,76.0,Yes,32.957195,-117.202542,0.0,Yes,2.0,13.0,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,1169.35,0.0,0.0,19.11,1188.46,Competitor
3716-BDVDB,63.0,No,34.501452,-118.207862,5.0,No,0.0,5.0,Yes,No,Yes,DSL,No,No,No,No,Yes,Month-to-Month,202.15,0.0,0.0,54.95,257.1,No Churn
5077-DXTCG,21.0,No,38.326215,-122.718742,4.0,Yes,8.0,61.0,Yes,No,Yes,DSL,No,No,No,No,No,One Year,2078.2188,0.0,0.0,2568.71,3712.51,No Churn
9710-ZUSHQ,26.0,No,39.227434,-120.091806,1.0,No,1.0,13.0,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Month-to-Month,1215.6,0.0,0.0,566.28,1781.88,Other
2599-CIPQE,24.0,No,33.527605,-116.666551,0.0,Yes,1.0,30.0,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,2624.25,0.0,0.0,144.6,2768.85,Other
8974-OVACP,63.0,No,32.832706,-116.873258,5.0,Yes,8.0,72.0,Yes,No,Yes,Cable,Yes,No,Yes,Yes,Yes,Two Year,5728.55,1.7964531,1.7964531,2525.04,8253.59,No Churn
3648-GZPHF,63.0,No,39.657228,-121.37778,5.0,No,0.0,44.0,No,No,Yes,Cable,Yes,No,Yes,No,Yes,One Year,2265.0,0.0,0.0,0.0,2265.0,No Churn
3097-NQYSN,53.0,No,36.633498,-119.298895,3.0,No,0.0,28.0,Yes,No,Yes,Cable,No,No,No,No,No,One Year,638.0,0.0,0.0,270.90002,908.9,No Churn
3012-VFFMN,68.0,Yes,33.600987,-117.862734,3.0,No,0.0,1.0,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,91.3,0.0,0.0,43.61,134.91,Attitude
2307-FYNNL,22.0,No,32.805518,-117.169052,2.0,No,0.0,1.0,Yes,No,No,None,No,No,No,No,No,Month-to-Month,20.5,0.0,0.0,19.85,40.35,Attitude
8972-HJWNV,63.0,No,37.708327,-122.083473,3.0,Yes,0.0,6.0,Yes,No,Yes,DSL,No,No,No,Yes,No,Month-to-Month,483.3,0.0,10.0000305,279.54,772.84,No Churn
9650-VBUOG,49.0,No,33.952714,-118.292061,4.0,Yes,6.0,72.0,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,One Year,7323.15,0.0,0.0,3319.2,10642.35,No Churn
1347-KTTTA,63.0,No,34.150354,-118.518292,3.0,No,0.0,20.0,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Month-to-Month,1901.65,1.7964531,0.0,571.4,2471.2537,No Churn
3923-CSIHK,30.0,No,36.464635,-119.094348,4.0,Yes,2.0,42.0,Yes,No,Yes,DSL,Yes,Yes,No,No,Yes,Month-to-Month,2301.15,0.0,0.0,795.06,3096.21,No Churn
8246-SHFGA,63.0,Yes,33.998471,-117.973758,3.0,No,0.0,30.0,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Two Year,2595.85,0.0,0.0,121.2,2717.05,No Churn
6993-YCOBK,71.0,Yes,34.090925,-118.128164,2.0,Yes,2.0,3.0,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Month-to-Month,334.65,0.0,0.0,123.9,458.55,Attitude
8896-BQTTI,63.0,Yes,37.878554,-122.26609,4.0,No,0.0,18.0,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,Two Year,1443.65,4.76001,70.0,462.6,1971.49,No Churn
5133-VRSAB,63.0,No,37.311088,-121.961786,4.0,Yes,2.0,28.0,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Month-to-Month,402.4375,0.0,6.6882515,1532.48,1941.6057,No Churn
2520-SGTTA,52.0,No,41.962127,-122.527696,3.0,No,0.0,30.0,Yes,No,Yes,DSL,Yes,Yes,Yes,No,No,One Year,2308.6,0.0,50.0,126.6,2485.2,No Churn
5956-VKDTT,63.0,No,33.735802,-117.818805,3.0,Yes,3.0,58.0,Yes,No,No,None,No,No,No,No,No,One Year,1108.8,0.0,0.0,1619.94,2728.74,No Churn
2027-DNKIV,73.0,Yes,33.362575,-117.299644,1.0,No,5.0,27.0,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Month-to-Month,2867.75,0.0,0.0,275.13,3142.88,Competitor
