index,Customer ID,Age,Senior Citizen,Latitude,Longitude,Satisfaction Score,Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Unlimited Data,Contract,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn Category
22,3280-NMUVX,47.0,No,35.710244,-118.37267,4.0,No,0.0,8.0,Yes,Yes,No,DSL,Yes,No,No,No,Yes,Month-to-Month,1111.2,0.0,0.0,806.6500000000001,1917.85,No Churn
23,1100-DDVRV,57.0,No,33.876482,-118.37019,3.0,No,1.0,20.0,Yes,No,Yes,None,No,No,No,No,Yes,Month-to-Month,3545.1,0.0,0.0,1119.1799999999998,9537.56,No Churn
25,1135-HIORI,49.0,No,37.873283,-121.292034,4.0,No,0.0,1.0,Yes,No,Yes,DSL,No,Yes,No,Yes,Yes,One Year,520.95,0.0,0.0,2068.3,767.35,No Churn
26,9667-EQRXU,59.0,No,33.867593,-118.080637,3.0,Yes,2.0,60.0,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,One Year,6339.45,41.23,0.0,1377.0,7675.22,No Churn
27,2014-MKGMH,36.0,No,33.848733,-117.788357,1.0,No,0.0,4.0,Yes,Yes,Yes,Cable,No,No,Yes,No,Yes,Month-to-Month,346.2,0.0,0.0,193.4,539.6,Competitor
29,1934-SJVJK,34.0,No,40.582399,-118.346766,4.0,No,0.0,9.0,Yes,No,Yes,Cable,No,Yes,No,No,No,Month-to-Month,484.05,0.0,0.0,248.76,732.81,No Churn
30,7077-XJMET,52.0,No,37.420273,-123.679461,4.0,No,0.0,71.0,Yes,Yes,No,None,Yes,No,No,No,Yes,Two Year,1654.6,0.0,0.0,347.19,2001.79,No Churn
32,2452-KDRRH,54.0,No,39.170376,-117.169052,3.0,No,0.0,44.0,Yes,Yes,Yes,Cable,No,Yes,Yes,Yes,No,One Year,520.95,0.0,100.0,61.75,5985.23,No Churn
33,7351-MHQVU,49.0,No,39.225634,-121.156163,3.0,No,0.0,7.0,Yes,Yes,Yes,DSL,No,No,No,Yes,Yes,Month-to-Month,19.95,0.0,0.0,218.5,5605.2,Price
34,8631-XVRZL,72.0,No,34.536232,-118.082935,3.0,Yes,9.0,18.0,Yes,Yes,No,None,No,No,No,No,No,Two Year,471.35,0.0,0.0,786.42,1257.77,No Churn
35,3143-ILDAL,58.0,No,35.710244,-117.199424,2.0,No,2.0,2.0,No,No,Yes,Cable,No,Yes,No,No,Yes,Month-to-Month,1178.4,0.0,0.0,0.0,3990.12,Attitude
37,0526-SXDJP,64.0,No,37.424342,-122.165641,3.0,No,0.0,69.0,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Two Year,5897.4,0.0,0.0,1274.4299999999998,7171.83,No Churn
41,0742-MOABM,39.0,No,38.161321,-120.123526,3.0,No,0.0,16.0,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Month-to-Month,1555.65,0.0,0.0,303.84,1859.49,Attitude
44,5884-GCYMI,57.0,No,36.623632,-119.741322,3.0,No,0.0,65.0,Yes,No,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Month-to-Month,5459.2,0.0,0.0,2713.1,8172.299999999999,No Churn
47,6713-OKOMC,61.0,No,34.983808,-118.11662,3.0,Yes,0.0,17.0,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Two Year,5265.5,0.0,0.0,518.3199999999999,986.09,No Churn
49,8701-DGLVH,62.0,No,39.913777,-122.289984,4.0,No,0.0,5.0,Yes,No,No,None,Yes,No,No,No,No,One Year,92.05,0.0,0.0,209.65,301.7,No Churn
50,1850-AKQEP,24.0,No,34.420998,-121.307864,3.0,Yes,5.0,43.0,Yes,Yes,Yes,DSL,Yes,No,No,Yes,Yes,One Year,3173.35,0.0,0.0,2068.3,5241.65,No Churn
54,4847-QNOKA,63.0,No,40.171312,-121.120605,5.0,No,3.0,41.0,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,One Year,4454.25,0.0,0.0,836.8100000000001,5291.06,No Churn
55,7233-IOQNP,80.0,No,34.065108,-118.082791,3.0,Yes,0.0,72.0,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Month-to-Month,310.6,0.0,10.0,689.76,351.28,No Churn
56,9968-FFVVH,38.0,No,34.15136,-118.186565,4.0,No,0.0,1.0,Yes,No,Yes,Cable,No,No,Yes,Yes,Yes,Month-to-Month,55.05,0.0,0.0,14.65,69.7,No Churn
57,5364-EVNIB,66.0,No,37.388349,-122.437301,4.0,No,0.0,17.0,Yes,No,Yes,DSL,Yes,Yes,Yes,No,Yes,Month-to-Month,934.15,0.0,0.0,572.56,1506.71,No Churn
58,4789-KWMXN,32.0,No,32.782501,-117.01611,4.0,No,0.0,72.0,Yes,Yes,Yes,None,Yes,Yes,Yes,No,Yes,Two Year,7261.25,0.0,0.0,162.0,7423.25,No Churn
59,1084-UQCHV,27.0,No,37.388349,-117.255974,5.0,No,4.0,10.0,Yes,Yes,No,None,No,No,No,No,No,Month-to-Month,253.9,0.0,0.0,41.6,2061.12,No Churn
60,4837-QUSFT,50.0,No,32.649787,-116.99726,4.0,Yes,2.0,72.0,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,One Year,8003.8,0.0,0.0,2767.68,10771.48,No Churn
61,1934-MKPXS,47.0,No,34.983808,-117.239306,3.0,Yes,6.0,30.0,Yes,No,No,None,No,No,No,No,No,Two Year,711.9,0.0,0.0,1200.0,1911.9,No Churn
63,9391-EOYLI,29.0,No,33.728273,-118.37019,4.0,No,10.0,17.0,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Month-to-Month,1672.1,0.0,0.0,219.39,2331.36,No Churn
65,7356-AYNJP,45.0,No,34.422519,-120.054765,3.0,No,0.0,32.0,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Month-to-Month,3183.4,0.0,0.0,806.72,3990.12,Attitude
69,7892-POOKP,24.0,No,33.798266,-117.255974,3.0,Yes,1.0,72.0,Yes,Yes,No,None,No,No,No,No,No,Two Year,1354.4,0.0,0.0,1640.16,2994.5600000000004,No Churn
70,8050-XGRVL,55.0,No,34.046174,-118.446333,4.0,No,1.0,66.0,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,One Year,6273.4,0.0,0.0,1704.78,7978.179999999999,No Churn
72,1818-ESQMW,27.0,Yes,34.028735,-118.317236,3.0,No,0.0,17.0,No,No,No,None,No,No,No,No,No,Month-to-Month,1816.75,0.0,0.0,2281.23,2173.69,No Churn
73,7814-LEEVE,44.0,No,37.458367,-119.345011,4.0,No,6.0,69.0,Yes,Yes,No,Fiber Optic,No,No,No,No,Yes,Month-to-Month,1313.25,0.0,0.0,1198.08,6134.18,No Churn
75,7446-YPODE,71.0,Yes,34.105493,-117.660934,3.0,No,0.0,69.0,Yes,Yes,Yes,None,No,No,No,No,No,Two Year,229.4,0.0,0.0,1059.3,4025.13,No Churn
76,8399-YNDCH,47.0,No,40.346634,-117.937007,4.0,No,6.0,59.0,Yes,Yes,Yes,None,No,Yes,No,No,No,One Year,504.05,36.4,0.0,500.4,2066.2,No Churn
77,5196-WPYOW,28.0,No,39.955587,-117.923782,4.0,No,0.0,4.0,Yes,No,Yes,DSL,No,No,No,No,Yes,Month-to-Month,385.55,0.0,0.0,175.08,351.28,No Churn
82,7714-YXSMB,44.0,No,37.285677,-122.224165,3.0,No,0.0,1.0,No,No,Yes,Cable,No,Yes,No,Yes,No,Month-to-Month,33.6,0.0,50.0,0.0,83.6,No Churn
83,3541-ZNUHK,38.0,No,36.5276,-122.563571,5.0,No,0.0,20.0,Yes,Yes,Yes,Cable,No,Yes,No,Yes,Yes,Month-to-Month,1416.2,0.0,0.0,455.0,1825.35,No Churn
84,7817-BOQPW,75.0,No,33.507255,-116.967221,5.0,No,0.0,1.0,Yes,No,No,None,No,No,No,No,No,Two Year,20.3,0.0,0.0,29.19,49.49,No Churn
92,8201-AAXCB,43.0,Yes,36.625114,-121.823565,4.0,Yes,0.0,46.0,Yes,No,Yes,None,Yes,No,Yes,No,No,Two Year,1665.2,0.0,0.0,769.02,2352.45,No Churn
94,9927-DSWDF,47.0,No,32.980678,-116.262854,1.0,Yes,1.0,5.0,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,385.0,0.0,0.0,57.7,5887.83,Competitor
95,6064-PUPMC,31.0,No,32.961064,-117.134917,1.0,Yes,0.0,60.0,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,1573.7,0.0,0.0,30.6,471.29,Competitor
96,7825-ECJRF,60.0,No,33.954017,-121.818201,5.0,Yes,1.0,2.0,Yes,No,Yes,DSL,No,No,No,No,No,Two Year,220.65,0.0,0.0,67.5,2654.36,No Churn
97,8713-IGZSO,24.0,No,37.666587,-122.008483,5.0,Yes,1.0,72.0,Yes,Yes,No,None,No,No,No,No,No,Month-to-Month,1784.9,0.0,0.0,587.42,1102.17,No Churn
98,5882-CMAZQ,73.0,No,39.094102,-118.59049,1.0,Yes,1.0,3.0,Yes,No,Yes,DSL,No,No,No,No,Yes,One Year,696.35,0.0,0.0,333.84000000000003,1030.19,Competitor
99,2933-FILNV,29.0,No,33.944624,-118.11662,3.0,No,10.0,32.0,Yes,Yes,No,Cable,No,No,Yes,Yes,Yes,Month-to-Month,424.75,0.0,0.0,606.51,35.52,No Churn
101,3620-EHIMZ,56.0,No,36.527243,-118.594938,3.0,No,8.0,18.0,Yes,No,Yes,None,No,No,No,No,No,One Year,553.0,0.0,0.0,2338.56,25.35,No Churn
102,4940-KHCWD,31.0,No,35.369553,-120.763864,4.0,No,0.0,22.0,Yes,Yes,No,None,No,No,No,No,No,Two Year,605.9,0.0,0.0,116.16,722.06,No Churn
104,2239-CFOUJ,74.0,Yes,34.234912,-118.153729,1.0,Yes,2.0,15.0,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Month-to-Month,206.6,0.0,0.0,126.70000000000002,744.1700000000001,Competitor
105,3359-DSRKA,44.0,No,38.415003,-122.998726,3.0,No,0.0,29.0,Yes,No,Yes,Cable,No,No,No,No,Yes,Two Year,3574.5,0.0,60.0,2616.3,2480.55,No Churn
108,0322-YINQP,62.0,No,32.765299,-117.122565,5.0,No,3.0,70.0,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Month-to-Month,385.55,0.0,0.0,168.95999999999998,534.55,No Churn
111,2504-DSHIH,59.0,No,33.902211,-117.914922,4.0,No,0.0,7.0,Yes,No,Yes,Cable,No,Yes,No,No,Yes,Two Year,3801.3,0.0,0.0,77.07,234.95,No Churn
114,2294-DMMUS,42.0,No,37.791998,-122.408653,3.0,Yes,1.0,11.0,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Month-to-Month,229.5,0.0,0.0,0.0,1024.1,Competitor
115,6195-MELTI,32.0,Yes,38.460517,-117.2914,1.0,Yes,1.0,33.0,Yes,No,Yes,Fiber Optic,Yes,No,No,No,Yes,Month-to-Month,597.0,0.0,0.0,13.84,3271.65,Dissatisfaction
118,1429-UYJSV,26.0,No,33.83796,-117.897367,1.0,No,0.0,40.0,Yes,No,Yes,DSL,Yes,No,Yes,No,Yes,Month-to-Month,113.35,0.0,0.0,10.66,124.01,Competitor
120,2662-NNTDK,38.0,No,34.046174,-121.52446,4.0,Yes,0.0,64.0,Yes,No,Yes,Fiber Optic,Yes,No,No,No,Yes,Two Year,533.6,0.0,60.0,219.39,83.6,No Churn
122,3675-EQOZA,75.0,No,34.159007,-121.108568,1.0,No,0.0,4.0,Yes,No,No,None,No,No,No,No,Yes,Month-to-Month,76.35,0.0,0.0,49.72,126.07,Price
123,6551-VLJMV,61.0,No,39.396585,-121.38029,4.0,Yes,10.0,24.0,Yes,No,Yes,None,Yes,No,No,Yes,Yes,One Year,1712.9,0.0,0.0,924.21,2501.54,No Churn
124,6953-PBDIN,72.0,Yes,38.696659,-123.436861,1.0,Yes,0.0,60.0,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Month-to-Month,206.6,0.0,0.0,804.75,3628.14,Competitor
125,7072-MBHEV,58.0,No,36.78979,-122.048361,4.0,No,0.0,54.0,Yes,No,Yes,None,Yes,Yes,No,Yes,No,One Year,5826.65,0.0,10.0,1130.22,6966.87,No Churn
127,3976-HXHCE,21.0,No,40.586588,-117.875928,3.0,No,0.0,23.0,Yes,Yes,No,None,No,No,No,No,No,One Year,615.35,0.0,0.0,1006.71,1622.06,No Churn
128,3583-EKAPL,28.0,No,33.83796,-117.870494,1.0,Yes,1.0,46.0,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Month-to-Month,70.5,0.0,0.0,929.53,1337.19,Competitor
131,4537-CIBHB,54.0,No,36.819628,-119.440414,3.0,Yes,0.0,23.0,Yes,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Month-to-Month,1752.45,0.0,0.0,924.15,3917.2,No Churn
133,2606-RMDHZ,57.0,No,37.942551,-118.292061,5.0,Yes,1.0,14.0,Yes,No,Yes,DSL,No,No,Yes,No,Yes,Two Year,641.25,0.0,0.0,629.3000000000001,1270.5500000000002,No Churn
134,6504-VBLFL,31.0,No,33.954017,-117.969501,4.0,Yes,10.0,71.0,Yes,No,No,None,No,No,No,No,No,Two Year,1379.6,0.0,0.0,1307.11,2686.71,No Churn
136,9272-LSVYH,41.0,No,36.587497,-121.944815,5.0,Yes,9.0,42.0,Yes,No,Yes,DSL,No,Yes,Yes,Yes,No,Two Year,2839.45,0.0,0.0,309.06,3148.51,No Churn
137,4404-HIBDJ,41.0,No,33.141265,-117.029473,1.0,Yes,1.0,48.0,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,One Year,4029.95,0.0,0.0,1149.6,5179.549999999999,Competitor
139,3692-JHONH,51.0,No,33.893823,-117.531446,3.0,No,5.0,22.0,Yes,No,No,DSL,Yes,Yes,No,Yes,Yes,One Year,4652.4,0.0,0.0,2102.73,869.29,No Churn
141,7644-OMVMY,53.0,No,38.911577,-120.106169,3.0,Yes,1.0,9.0,Yes,Yes,No,Fiber Optic,Yes,No,No,No,Yes,Month-to-Month,2510.2,0.0,0.0,480.15,3271.65,Dissatisfaction
143,5876-QMYLD,65.0,No,33.873395,-118.37019,3.0,No,0.0,29.0,Yes,No,Yes,None,Yes,No,Yes,Yes,No,Month-to-Month,700.45,0.0,0.0,2594.16,1119.8,No Churn
144,2954-PIBKO,48.0,No,34.026334,-118.430656,3.0,No,0.0,29.0,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Two Year,1801.1,0.0,0.0,398.46,2199.56,No Churn
145,4806-DXQCE,25.0,No,37.526791,-119.99437,3.0,No,0.0,47.0,Yes,No,Yes,DSL,No,Yes,No,Yes,No,Two Year,3007.25,0.0,80.0,1412.82,4500.07,No Churn
146,7197-VOJMM,72.0,Yes,34.146635,-118.139225,3.0,No,0.0,43.0,No,No,No,Fiber Optic,Yes,No,Yes,No,No,One Year,3330.1,0.0,0.0,1641.2199999999998,3466.34,No Churn
148,6292-TOSSS,72.0,Yes,39.225694,-123.717354,4.0,No,0.0,41.0,Yes,No,No,DSL,No,Yes,No,No,Yes,Two Year,2878.75,0.0,0.0,884.4,5982.05,No Churn
150,3594-UVONA,21.0,No,33.944624,-122.224363,5.0,Yes,9.0,56.0,Yes,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Two Year,3389.25,0.0,0.0,1990.8,5380.049999999999,No Churn
156,4029-HPFVY,50.0,No,39.342587,-119.224666,4.0,Yes,0.0,45.0,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Two Year,4634.35,0.0,0.0,1059.3,5693.650000000001,No Churn
157,7249-WBIYX,58.0,No,38.274451,-121.259201,3.0,Yes,0.0,17.0,Yes,No,Yes,DSL,No,Yes,Yes,No,Yes,Two Year,1037.75,0.0,0.0,480.15,1933.13,Dissatisfaction
159,5120-ZBLAI,23.0,No,33.956228,-122.196821,5.0,Yes,1.0,47.0,Yes,No,No,Fiber Optic,Yes,Yes,Yes,No,Yes,One Year,4391.45,0.0,0.0,732.73,5124.18,No Churn
160,1104-FEJAM,36.0,No,37.327069,-117.858918,3.0,No,0.0,37.0,Yes,No,No,None,No,No,No,No,No,One Year,785.75,0.0,0.0,1271.6899999999998,2057.44,No Churn
164,0363-QJVFX,26.0,No,34.213049,-118.317651,3.0,No,0.0,21.0,Yes,Yes,No,None,No,No,No,No,No,Two Year,19.3,0.0,0.0,8.66,27.96,No Churn
167,3026-ATZYV,51.0,No,34.70434,-122.272437,5.0,No,0.0,45.0,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Month-to-Month,4747.85,0.0,0.0,1113.75,5861.6,No Churn
171,5502-RLUYV,24.0,No,33.890046,-122.214945,4.0,No,7.0,69.0,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,Two Year,7665.8,0.0,10.0,15.66,10295.73,No Churn
172,0924-BJCRC,51.0,No,37.34667,-121.910019,4.0,Yes,1.0,18.0,Yes,No,Yes,Cable,No,No,No,No,No,One Year,6614.9,0.0,40.0,34.06,419.99,No Churn
173,0295-QVKPB,69.0,Yes,37.422961,-120.765493,3.0,Yes,0.0,1.0,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,2375.4,8.35,0.0,126.70000000000002,528.1999999999999,Competitor
175,0960-HUWBM,21.0,No,37.781304,-122.461522,4.0,No,0.0,21.0,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,One Year,4904.85,0.0,0.0,359.54999999999995,3001.91,No Churn
178,1792-UXAFY,19.0,No,33.998471,-121.37778,4.0,No,0.0,26.0,Yes,No,No,None,No,Yes,No,No,Yes,Two Year,2208.75,21.25,0.0,2302.53,2010.84,No Churn
180,2181-UAESM,57.0,No,40.345949,-120.081187,3.0,No,0.0,7.0,Yes,No,Yes,DSL,No,No,Yes,Yes,Yes,Two Year,450.8,0.0,0.0,425.52,614.25,Attitude
181,2661-GKBTK,65.0,Yes,38.674276,-118.891593,3.0,Yes,5.0,62.0,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Month-to-Month,5936.55,0.0,0.0,707.42,6643.97,No Churn
182,9170-ARBTB,62.0,No,34.17847,-122.437301,5.0,Yes,1.0,1.0,Yes,No,No,None,No,No,No,No,No,One Year,19.0,0.0,0.0,28.28,47.28,No Churn
183,8681-ICONS,40.0,No,35.591387,-121.032256,3.0,Yes,2.0,71.0,No,No,Yes,Cable,No,Yes,Yes,Yes,Yes,Two Year,4145.9,0.0,0.0,0.0,4145.9,No Churn
184,5522-NYKPB,44.0,No,35.924252,-116.188668,3.0,Yes,4.0,41.0,Yes,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,Month-to-Month,3023.55,0.0,90.0,1170.55,4194.1,No Churn
185,1658-BYGOY,45.0,No,37.306612,-122.215844,3.0,Yes,10.0,5.0,Yes,No,Yes,Cable,No,No,No,No,Yes,Month-to-Month,6325.25,0.0,0.0,178.0,398.45,No Churn
186,3243-ZHOHY,28.0,No,33.977468,-118.445475,1.0,Yes,0.0,7.0,No,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Month-to-Month,2483.05,0.0,10.0,127.82,597.0,Dissatisfaction
188,0727-BMPLR,32.0,No,34.048013,-121.446049,4.0,Yes,9.0,65.0,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Two Year,6347.55,0.0,0.0,1978.6,8326.15,No Churn
192,5712-VBOXD,23.0,No,33.69887,-117.25071,3.0,Yes,8.0,14.0,Yes,Yes,Yes,Cable,No,Yes,No,No,Yes,Two Year,4451.85,0.0,150.0,617.32,215.6,No Churn
193,7951-QKZPL,48.0,No,33.507255,-117.029473,5.0,Yes,5.0,17.0,No,No,Yes,DSL,No,Yes,Yes,No,Yes,Month-to-Month,646.05,0.0,0.0,0.0,646.05,No Churn
194,4948-WBBKL,23.0,No,34.422519,-118.420717,3.0,No,0.0,4.0,No,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Month-to-Month,390.85,0.0,0.0,67.78,27.39,Attitude
197,7233-DRTRF,46.0,No,37.605926,-119.338535,4.0,No,0.0,69.0,Yes,Yes,Yes,Cable,No,Yes,No,Yes,Yes,Two Year,4577.9,0.0,0.0,990.0,5537.69,No Churn
199,7047-YXDMZ,65.0,No,34.147149,-118.255178,1.0,No,0.0,5.0,Yes,Yes,No,None,No,No,No,No,No,Month-to-Month,829.55,0.0,0.0,30.85,138.9,Price
202,5519-TEEUH,33.0,Yes,34.049172,-118.37019,5.0,Yes,1.0,5.0,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Month-to-Month,5980.55,27.24,0.0,75.05,492.22,No Churn
203,0754-EEBDC,50.0,No,40.704293,-121.156163,2.0,No,0.0,13.0,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Month-to-Month,2745.2,0.0,0.0,284.44,1343.04,Price
204,3945-GFWQL,39.0,Yes,33.88856,-123.586412,3.0,Yes,3.0,72.0,Yes,Yes,No,Fiber Optic,Yes,Yes,No,Yes,Yes,Two Year,8317.95,0.0,0.0,2067.84,10385.79,No Churn
209,2361-UPSND,25.0,No,39.258746,-120.918713,3.0,No,0.0,18.0,Yes,Yes,Yes,DSL,Yes,No,No,No,Yes,Month-to-Month,992.7,0.0,0.0,315.18,1307.88,No Churn
210,1723-HKXJQ,77.0,Yes,34.015217,-118.222416,2.0,No,0.0,5.0,No,No,Yes,DSL,No,Yes,No,No,Yes,Month-to-Month,131.05,0.0,0.0,0.0,131.05,Dissatisfaction
213,1428-IEDPR,31.0,No,34.11572,-118.192754,4.0,Yes,7.0,60.0,Yes,No,No,None,No,No,No,No,No,Month-to-Month,1161.75,0.0,0.0,1318.8,2480.55,No Churn
214,1325-USMEC,44.0,No,33.924143,-117.79387,3.0,No,0.0,13.0,Yes,No,No,None,No,No,No,No,No,Month-to-Month,6849.75,35.28,0.0,750.12,809.76,No Churn
215,6950-TWMYB,32.0,No,38.208336,-120.339938,5.0,Yes,0.0,46.0,Yes,No,Yes,DSL,Yes,Yes,No,Yes,Yes,Two Year,1070.7,0.0,0.0,86.91,3055.94,No Churn
216,5482-NUPNA,52.0,No,33.907361,-117.109972,3.0,No,0.0,53.0,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,One Year,5311.85,0.0,0.0,1557.67,6869.52,No Churn
218,6300-BWMJX,24.0,No,33.716136,-117.752574,4.0,Yes,8.0,1.0,Yes,No,Yes,Cable,Yes,Yes,Yes,No,Yes,One Year,1955.4,0.0,0.0,290.07,2637.0,No Churn
219,5549-ZGHFB,49.0,No,34.209532,-118.577563,5.0,Yes,3.0,59.0,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,One Year,3958.2,0.0,0.0,724.5,4905.74,No Churn
220,2761-XECQW,29.0,No,39.117537,-121.386617,1.0,No,0.0,1.0,Yes,No,Yes,DSL,No,No,No,No,Yes,Month-to-Month,44.4,0.0,0.0,7.14,51.54,Attitude
221,0565-IYCGT,34.0,No,34.136306,-118.26036,3.0,No,9.0,35.0,Yes,Yes,Yes,DSL,No,Yes,No,No,No,One Year,4297.6,0.0,0.0,14.97,392.2,No Churn
222,2709-UQGNP,21.0,No,38.591134,-122.544556,3.0,No,0.0,51.0,Yes,No,Yes,DSL,No,Yes,No,No,Yes,Month-to-Month,2553.35,0.0,0.0,0.0,2553.35,No Churn
224,6857-VWJDT,35.0,No,37.007882,-117.752574,3.0,No,1.0,24.0,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Month-to-Month,2072.75,0.0,0.0,1058.16,3130.91,No Churn
227,3850-OKINF,40.0,No,36.497895,-119.285484,5.0,Yes,8.0,8.0,Yes,No,No,None,No,No,Yes,No,No,Two Year,146.6,0.0,0.0,136.72,283.32,No Churn
231,1550-EENBN,23.0,No,33.017518,-121.46504,4.0,No,0.0,23.0,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Month-to-Month,2032.3,23.79,0.0,459.08,2467.59,No Churn
232,5453-YBTWV,26.0,No,39.806141,-123.531098,4.0,Yes,1.0,21.0,Yes,No,No,Fiber Optic,No,No,Yes,No,Yes,Two Year,5411.4,0.0,0.0,1438.14,1860.23,No Churn
233,6050-IJRHS,49.0,No,39.84784,-120.877572,5.0,No,0.0,24.0,Yes,Yes,No,None,No,No,No,No,No,One Year,527.35,0.0,0.0,143.52,670.87,No Churn
234,7566-DSRLQ,39.0,No,32.886925,-118.240413,1.0,Yes,1.0,3.0,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,229.5,0.0,0.0,17.0,335.04,Competitor
